Problem,Method,Benchmark,Instance,n,m,LB,UB,Gap,ActualTime,BKS,RPD
Tardinessflowshop,CPLEX_CP,Eva,120,350,50,0,225400,1,3601.95,15374,93.17923691
Tardinessflowshop,CPLEX_CP,Eva,121,50,10,0,0,0,8.45,0,0
Tardinessflowshop,CPLEX_CP,Eva,122,50,10,0,0,0,0.571,0,0
Tardinessflowshop,CPLEX_CP,Eva,123,50,10,0,0,0,0.489,0,0
Tardinessflowshop,CPLEX_CP,Eva,124,50,10,0,0,0,0.589,0,0
Tardinessflowshop,CPLEX_CP,Eva,125,50,10,0,0,0,9.528,0,0
Tardinessflowshop,CPLEX_CP,Eva,126,50,30,1168,12924,0.909625503,3600.25,9849,23.79294336
Tardinessflowshop,CPLEX_CP,Eva,127,50,30,1474,17187,0.914237505,3600.27,15344,10.72322104
Tardinessflowshop,CPLEX_CP,Eva,128,50,30,892,21329,0.958179005,3600.249,18746,12.1102724
Tardinessflowshop,CPLEX_CP,Eva,129,50,30,1510,15183,0.900546664,3600.216,11723,22.7886452
Tardinessflowshop,CPLEX_CP,Eva,130,50,30,1058,17637,0.940012474,3600.308,13724,22.18631286
Tardinessflowshop,CPLEX_CP,Eva,131,50,50,7097,33438,0.787756445,3600.322,28101,15.96088283
Tardinessflowshop,CPLEX_CP,Eva,132,50,50,5953,42197,0.85892362,3600.286,34187,18.98239211
Tardinessflowshop,CPLEX_CP,Eva,133,50,50,7843,47019,0.833195091,3600.255,39986,14.95778302
Tardinessflowshop,CPLEX_CP,Eva,134,50,50,5481,39734,0.862057684,3600.408,36105,9.13323602
Tardinessflowshop,CPLEX_CP,Eva,135,50,50,8214,43399,0.810732966,3600.346,38415,11.48413558
Tardinessflowshop,CPLEX_CP,Eva,136,150,10,0,0,0,0.873,0,0
Tardinessflowshop,CPLEX_CP,Eva,137,150,10,0,0,0,1.219,0,0
Tardinessflowshop,CPLEX_CP,Eva,138,150,10,0,0,0,1.088,0,0
Tardinessflowshop,CPLEX_CP,Eva,139,150,10,0,0,0,1.101,0,0
Tardinessflowshop,CPLEX_CP,Eva,140,150,10,0,0,0,1.262,0,0
Tardinessflowshop,CPLEX_CP,Eva,141,150,30,0,0,0,547.857,0,0
Tardinessflowshop,CPLEX_CP,Eva,142,150,30,0,5,1,3600.618,0,1
Tardinessflowshop,CPLEX_CP,Eva,143,150,30,0,211,1,3600.457,0,1
Tardinessflowshop,CPLEX_CP,Eva,144,150,30,0,0,0,5.328,0,0
Tardinessflowshop,CPLEX_CP,Eva,145,150,30,0,1150,1,3600.541,0,1
Tardinessflowshop,CPLEX_CP,Eva,146,150,50,0,17850,1,3600.778,0,1
Tardinessflowshop,CPLEX_CP,Eva,147,150,50,0,54971,1,3600.717,22665,58.7691692
Tardinessflowshop,CPLEX_CP,Eva,148,150,50,0,64172,1,3600.705,21598,66.34357664
Tardinessflowshop,CPLEX_CP,Eva,149,150,50,0,88795,1,3600.882,26890,69.71676333
Tardinessflowshop,CPLEX_CP,Eva,150,150,50,0,61331,1,3600.651,20705,66.2405635
Tardinessflowshop,CPLEX_CP,Eva,151,250,10,0,0,0,1.642,0,0
Tardinessflowshop,CPLEX_CP,Eva,152,250,10,0,0,0,3.79,0,0
Tardinessflowshop,CPLEX_CP,Eva,153,250,10,0,0,0,2.561,0,0
Tardinessflowshop,CPLEX_CP,Eva,154,250,10,0,0,0,1.695,0,0
Tardinessflowshop,CPLEX_CP,Eva,155,250,10,0,0,0,3.216,0,0
Tardinessflowshop,CPLEX_CP,Eva,156,250,30,0,0,0,30.999,0,0
Tardinessflowshop,CPLEX_CP,Eva,157,250,30,0,0,0,380.775,0,0
Tardinessflowshop,CPLEX_CP,Eva,158,250,30,0,0,0,14.661,0,0
Tardinessflowshop,CPLEX_CP,Eva,159,250,30,0,0,0,9.387,0,0
Tardinessflowshop,CPLEX_CP,Eva,160,250,30,0,0,0,12.302,0,0
Tardinessflowshop,CPLEX_CP,Eva,161,250,50,0,37410,1,3601.497,0,1
Tardinessflowshop,CPLEX_CP,Eva,162,250,50,0,0,0,1434.444,0,0
Tardinessflowshop,CPLEX_CP,Eva,163,250,50,0,50312,1,3601.328,0,1
Tardinessflowshop,CPLEX_CP,Eva,164,250,50,0,7633,1,3600.974,0,1
Tardinessflowshop,CPLEX_CP,Eva,165,250,50,0,27382,1,3600.99,0,1
Tardinessflowshop,CPLEX_CP,Eva,166,350,10,0,0,0,6.935,0,0
Tardinessflowshop,CPLEX_CP,Eva,167,350,10,0,0,0,6.848,0,0
Tardinessflowshop,CPLEX_CP,Eva,168,350,10,0,0,0,6.36,0,0
Tardinessflowshop,CPLEX_CP,Eva,169,350,10,0,0,0,6.954,0,0
Tardinessflowshop,CPLEX_CP,Eva,170,350,10,0,0,0,5.819,0,0
Tardinessflowshop,CPLEX_CP,Eva,171,350,30,0,0,0,29.431,0,0
Tardinessflowshop,CPLEX_CP,Eva,172,350,30,0,0,0,28.251,0,0
Tardinessflowshop,CPLEX_CP,Eva,173,350,30,0,0,0,14.034,0,0
Tardinessflowshop,CPLEX_CP,Eva,174,350,30,0,0,0,29.01,0,0
Tardinessflowshop,CPLEX_CP,Eva,175,350,30,0,0,0,23.073,0,0
Tardinessflowshop,CPLEX_CP,Eva,176,350,50,0,72318,1,3601.582,0,1
Tardinessflowshop,CPLEX_CP,Eva,177,350,50,0,0,0,757.208,0,0
Tardinessflowshop,CPLEX_CP,Eva,178,350,50,0,8581,1,3601.649,0,1
Tardinessflowshop,CPLEX_CP,Eva,179,350,50,0,0,0,2423.704,0,0
Tardinessflowshop,CPLEX_CP,Eva,180,350,50,0,0,0,73.636,0,0
Tardinessflowshop,CPLEX_CP,Eva,181,50,10,1033,14397,0.928248941,3600.119,11205,22.17128568
